ID Cliente,Produto Visualizado,Histórico de Navegação,Campanha,Dias desde a última compra,Produto Comprado,Probabilidade de Compra
Minato Namikaze,Smartphone,Página de Oferta,0,196,0,24.0% chance de compra
Minato Namikaze,Relógio,Busca,1,200,0,18.0% chance de compra
Itachi Uchiha,Notebook,Email Marketing,0,51,0,26.0% chance de compra
Itachi Uchiha,Tablet,Anúncio,1,197,0,21.5% chance de compra
Kakashi Hatake,Cadeira Gamer,Busca,0,6,0,20.5% chance de compra
Kiba Inuzuka,Teclado Mecânico,Página de Oferta,0,9,0,11.5% chance de compra
Itachi Uchiha,Tablet,Página de Oferta,0,218,0,10.0% chance de compra
Tsunade,Cadeira Gamer,Página de Oferta,1,255,0,17.5% chance de compra
Choji Akimichi,Relógio,Email Marketing,1,199,0,25.0% chance de compra
Rock Lee,Relógio,Página de Oferta,0,22,0,11.5% chance de compra
Shino Aburame,Teclado Mecânico,Busca,1,172,0,15.5% chance de compra
Temari,Relógio,Página de Oferta,1,115,0,26.6% chance de compra
Itachi Uchiha,Câmera,Redes Sociais,0,75,0,14.5% chance de compra
Kiba Inuzuka,Headset,Anúncio,0,111,0,20.0% chance de compra
Kiba Inuzuka,Headset,Busca,1,180,0,19.5% chance de compra
Tsunade,Notebook,Página de Oferta,1,134,0,18.9% chance de compra
Jiraiya,Teclado Mecânico,Busca,0,42,0,16.0% chance de compra
Kakashi Hatake,Tablet,Busca,0,33,0,26.0% chance de compra
Madara Uchiha,Teclado Mecânico,Anúncio,0,111,0,28.0% chance de compra
Ino Yamanaka,Headset,Página de Oferta,0,1,0,20.0% chance de compra
Ino Yamanaka,Headset,Email Marketing,0,178,0,19.0% chance de compra
Hinata Hyuga,Teclado Mecânico,Página de Oferta,0,28,1,19.0% chance de compra
Madara Uchiha,Cadeira Gamer,Página de Oferta,0,141,1,26.5% chance de compra
Ino Yamanaka,Tablet,Página de Oferta,0,78,0,27.5% chance de compra
Minato Namikaze,Teclado Mecânico,Busca,1,188,0,6.5% chance de compra
Sakura Haruno,Câmera,Anúncio,0,167,0,26.0% chance de compra
Hinata Hyuga,Smartphone,Recomendação,0,187,0,18.5% chance de compra
Sakura Haruno,Console,Recomendação,0,172,0,28.5% chance de compra
Neji Hyuga,Câmera,Redes Sociais,0,57,0,19.0% chance de compra
Tsunade,Câmera,Página de Oferta,0,250,0,13.0% chance de compra
Choji Akimichi,Notebook,Email Marketing,0,117,0,15.5% chance de compra
Jiraiya,Smart TV,Busca,0,102,0,25.5% chance de compra
Jiraiya,Headset,Anúncio,0,16,0,25.5% chance de compra
Jiraiya,Headset,Busca,0,205,0,17.0% chance de compra
Madara Uchiha,Console,Redes Sociais,0,117,0,29.5% chance de compra
Shikamaru Nara,Teclado Mecânico,Anúncio,0,113,0,28.0% chance de compra
Sasuke Uchiha,Notebook,Anúncio,0,6,0,21.5% chance de compra
Choji Akimichi,Console,Email Marketing,0,200,0,16.0% chance de compra
Sakura Haruno,Smartphone,Anúncio,0,123,0,25.5% chance de compra
Itachi Uchiha,Cadeira Gamer,Recomendação,0,202,0,12.0% chance de compra
Shino Aburame,Teclado Mecânico,Busca,0,55,0,23.0% chance de compra
Kakashi Hatake,Notebook,Anúncio,0,106,0,26.5% chance de compra
Gaara,Teclado Mecânico,Página de Oferta,0,31,0,14.0% chance de compra
Temari,Cadeira Gamer,Página de Oferta,0,140,0,25.0% chance de compra
Obito Uchiha,Teclado Mecânico,Página de Oferta,0,107,0,10.5% chance de compra
Kiba Inuzuka,Cadeira Gamer,Página de Oferta,0,21,0,28.5% chance de compra
Kakashi Hatake,Tablet,Página de Oferta,0,0,0,15.5% chance de compra
Neji Hyuga,Notebook,Anúncio,0,212,0,7.0% chance de compra
Kakashi Hatake,Câmera,Página de Oferta,0,134,0,26.0% chance de compra
Rock Lee,Notebook,Anúncio,0,200,0,5.0% chance de compra
Shino Aburame,Relógio,Página de Oferta,0,82,0,12.0% chance de compra
Minato Namikaze,Relógio,Página de Oferta,0,73,1,15.0% chance de compra
Temari,Cadeira Gamer,Email Marketing,0,189,0,11.0% chance de compra
Jiraiya,Smart TV,Redes Sociais,0,117,0,24.0% chance de compra
Kakashi Hatake,Teclado Mecânico,Recomendação,0,166,0,24.5% chance de compra
Tsunade,Console,Busca,0,118,0,28.0% chance de compra
Naruto Uzumaki,Relógio,Página de Oferta,0,61,0,5.5% chance de compra
Temari,Relógio,Página de Oferta,0,154,0,21.0% chance de compra
Obito Uchiha,Console,Busca,1,156,0,29.0% chance de compra
Minato Namikaze,Câmera,Busca,0,26,0,19.5% chance de compra
