ID Cliente,compras,tentativas,taxa,produto_mais_comprado
Choji Akimichi,4,9,0.4444444444444444,Relógio
Gaara,9,12,0.75,Smartphone
Hinata Hyuga,8,9,0.8888888888888888,Smartphone
Ino Yamanaka,6,12,0.5,Headset
Itachi Uchiha,3,9,0.3333333333333333,Notebook
Jiraiya,6,11,0.5454545454545454,Teclado Mecânico
Kakashi Hatake,6,12,0.5,Cadeira Gamer
Kiba Inuzuka,4,9,0.4444444444444444,Headset
Madara Uchiha,7,9,0.7777777777777778,Console
Minato Namikaze,11,17,0.6470588235294118,Smartphone
Naruto Uzumaki,4,7,0.5714285714285714,Smart TV
Neji Hyuga,13,19,0.6842105263157895,Notebook
Obito Uchiha,10,14,0.7142857142857143,Notebook
Rock Lee,6,9,0.6666666666666666,Câmera
Sakura Haruno,6,9,0.6666666666666666,Console
Sasuke Uchiha,10,15,0.6666666666666666,Notebook
Shikamaru Nara,7,10,0.7,Smart TV
Shino Aburame,5,9,0.5555555555555556,Teclado Mecânico
Temari,15,21,0.7142857142857143,Headset
Tsunade,13,18,0.7222222222222222,Notebook
